image_path,extracted_text
./Train/Image/train2212.jpg,প্রকৃত সত্যবাদি তারাই Bangla Meme® যারা পাদ মেরে তা সাহসের সাথে<br>স্বীকার করে !
./Train/Image/train0322.jpg,<b>HELLO BABIES</b> আমেরিকান স্টাইলে জীবন যাপন করবা <b>EIDA KONO KOTHA HOILO?</b> আর সৌদি আরব স্টাইলে বিচার চাইবা এইডা কেমনে হয় কও?
./Train/Image/train1676.jpg,ভ্ৰমণ খিৱাচ বাঁচাতে কহাৰাজাৱা ঘূৱাতে যাত্য়া বহুাকে দিয়ে সমূদ্রের পাঁনি আনিয়ে তা দিয়ে গৌষল করার পর LADUま একটু চালাক না হইলে দুনিয়াতে টেকা খুব মুশকিল
./Train/Image/train2127.jpg,নার্সারি থেকে<br>৫মৃ শ্রেণী পর্যন্ত পাঠ্যপুস্তক AHMED_ MEMES মাধ্যমিক থেকে কলেজ পর্যন্ত পাঠ্যপুস্তক
./Train/Image/train0083.jpg,"#বাংলাদেশী দালাল মিডিয়া: -- ব্ৰেকিং নিউজ -- বন্যায় ভেসে আসা ""ভারতীয়"" হাতি মারা গেছে ভুল চিকিৎসা আর কীটনাশক কে দোষারোপ! FAKI BAZZZ কিন্তু বন্যা কার দোষে হইলো,মানুষের কি পরিমাণ ক্ষয়ক্ষতি হইলো এটা কোন নিউজই নাহ!"
./Train/Image/train2490.jpg,টাকা থাকলে উড়াই না থাকুলে ধার নিয়ে উড়াই
./Train/Image/train2864.jpg,কোরিয়াতে আমার সাতটা জামাই আছে ভাই
./Train/Image/train1142.jpg,আমি যেদিন থেইকা শুক্রবারে यकाल्ला (थलाधूला कहा छछिए) पिछि 1 gound <b>@SRIJON</b> DE ER. স্থেইকা আমার জীবনে ডাউনফল শুরু হইয়া গেছে
./Train/Image/train2778.jpg,<b>হ্মিটেন্ডেলা</b>য় orange MET BY BIS BANGLATROLL.COM orang এটা ছিলো সিগারেট এটাছিলো ইয়াবা<br>শিক্ষা isse. ছলো ভদকা এটাছিলারেড ওয়াইন
./Train/Image/train2650.jpg,FR/CHAPABAJI RD সেই রোববার হরতাল দিছে! আর কেও হরতাল দেয় না কেরে? CHAPA BAII HAPABAJI RI যাক ৩ দিন হরতাল 🛨 শুক্র-শনিবার আমার যে এতু খুশি লাগতাছে!
./Train/Image/train0973.jpg,"লজ্জায় নয়, গর্বের সাথেই বলতে পারি #farhanahmed_memes আজ পর্যন্ত কোনধরনের খেলায়<br>বা কোনকিছুতে বাজি ধরিনি"
./Train/Image/train1778.jpg,ব্যয়্যান সাদিক আয়ুয়ান সাদিক প্রয়েয়য়াল সাদিক শৃতক্রামান সাদিক
./Train/Image/train2713.jpg,'ম' তে মুশরিক না হতে চাইলে @gmmscshortstories <u>'প' তে পা ধরে সালাম করা বন্ধ করুন</u>
./Train/Image/train2516.jpg,"এখন তো কডিকে রেললাইনে শুয়ে থাকতে দেখলেও বোঝা মুশকিল, 1 444000 Ajob Toh? OTE আত্মহত্যা করতে এসেছে নাকি ছবি তলার জন্য পৌস দিচ্ছে!!!"
./Train/Image/train1428.jpg,Everyone in my University keeps using their Fake Bengali accent me: NURA
./Train/Image/train0153.jpg,A+<br>A+<br>A+ . A+<br>A+ A+<br><b>A+</b><br>A+ 30 6 A+<br>A+ A+ A+ আমার পরীক্ষার খাতা
./Train/Image/train0359.jpg,"প্রাইভেট না পড়ায় পিটিয়ে ছাত্রীর হাত ভাঙলেন শিক্ষক! সিরাজগঞ্জ প্রতিনিধি প্রাইভেট না পড়া ছাত্রীগণঃ ArbYn"" একি বিপদে পড়লাম!"
./Train/Image/train2374.jpg,KEU AMARE MAIRALA কোন পরিবারের ছেলেমেয়েরা রাতে তাড়াতাড়ি ঘুমাতে যায় আর খুব সকালে ঘুম থেকে ওঠে? য়ে পরিবারে ইন্টারনেট্ট কানেকশন্নাই!
./Train/Image/train2000.jpg,যখন মা বলে কাঁদলে আরো মারবো
./Train/Image/train2158.jpg,"তা, যা তোমার একট্রা কি গুণ আছে? জ্বি, আমি ভালো নাশিদ গাইতে পারি SAFO'S MEMES > আফগানিস্তানের রাজধানী! > অফিগনিস্তানের রাজধানী! > আফগানিস্তানের রাজধানী! melate.com"
./Train/Image/train0533.jpg,A SI BAZZZ FAKI BAZZZ FAKI BAZZZZ FAKI BAXZZZ KLBARES FAKI BAZZZ জানো আমি লাক্সের আমি সাবান ব্যবহার করি তুমি... ...আল হেলালের আমি OLAY ক্রিম ব্যবহার করি তুমি... ...আল হেলালের NKI BAZZZ FAKI BAZZZ FAKI BAZZZ FAKI BAZZE PAKA FAKI BAZZZ নাহ! আমার রুমজেটের আচ্ছা আল হেলাল ক্রি নাম আল হেলাল বড় ইন্টারন্যাশনাল ব্রাভ্ড 🖁
./Train/Image/train1489.jpg,BANGLA pathetic DISITA মা মা আমি বড় হয়ে প্লে বয় হব.. কিন্তু তুই তো ঠিকমত খেলাধুলা করিস নে বাবা। প্লে বয় হবি কি করে!!
./Train/Image/train2149.jpg,কংগ্রেস এবং বিজেপি শাসনের মধ্যে তফাৎ কী?  ১৯৮৪ ২০০২ বিজেপি শাসনে দাঙ্গাগুলোর রঙিন ছবি পাওয়া যায়।
./Train/Image/train1530.jpg,ল এমন একটি দেশ। য়ে দেশে এক মগ খিচুড়ি দিতে সাত জন নেতা লাগে..... गाउँवाचा
./Train/Image/train1509.jpg,শুনলাম বিশ্বকাপের ওপেনিং সেরেমনিতে ৰ্ণিউডেৱ কেউ দাই৷ THE TROLL ক্যামনা কিং
./Train/Image/train0739.jpg,আনন্দবাজার অনলাইন menter excessed efficien <b>Monkey Testicles</b> হু হু করে নাকি ক<u>মে যেত</u> বয়স! বাঁদরের অগুকোষ মানবদেহে প্রতিস্থাপন করে চমকে দেন চিকিৎসক MEMES વ્યાળજાનાના હોઇડ ફિલ્લ
./Train/Image/train2429.jpg,ইলেক্ট্রিক র্যাকেট দিয়ে<br>মশা মারার পর থোড়
./Train/Image/train1326.jpg,"প্রইপ্রমন্ত্র তারি, মে তাক্রাভ্যক্ত টাকা লেয়ালী,<br>দ্রার প্রতিষাট হাজার করে টিগ্নোভ্য"
./Train/Image/train2635.jpg,স্কুল-কলেজে যখন ক্ষিধা লাগে সিঙ্গারা-সমুসা:- #FARHANAHMED_MEMES Your Saviour is Here 1
./Train/Image/train1685.jpg,"druntopothik কিলে ফর্মিট্র আজকে তোলে বড তোৱ উপৱ একো ফেপলো ক্লেম্বঃ mairalaaa আর কইসনা বন্ধু, অর ছবি ফেসবুকে িদিয়া অয়েলেক্স ডট কমে দিয়া দিসিলাম"
./Train/Image/train0170.jpg,"ললিত মোদী, বিজয় মালিয়া, নীরব মোদী বিদেশ চলে গেছে... কুচুটে মিত্রো... আমি চৌকিদার, সুদ সমেত সব টাকা আদায় করবো। কোথা থেকে? কৃষক আর সাধারণ মানুষের কাছ থেকে!"
./Train/Image/train2250.jpg,"কোম্পানিতে জয়েন করলে ১০,০০০ আর ছয়মাস এর পরের থেকেই ২০,০০০ হবে মাইনে! তাহলে কবে থেকে জয়েন করবে? OVODRO MEMES ছয়মাস পরে থেকেই করব জয়েন"
./Train/Image/train2165.jpg,<b>ात्रिय यून यून त</b>्र प्रमृन तर জেলে যাবে সরকার পড়েয়ারে আমাকে দুর্নীতি করতে বলে এখন পাশে দাড়াতে না আমি সৰ বলে দেৰো মানিক ভট্টাচার্য ৭ নেতা মন্ত্রীর নাম ফাঁস করলোঃ MEMES লেট কেন ক<u>রছেন তাড়াতা</u>ড়ি বলে দেন...
